4522,ABAETETUBA
2369,ACAILANDIA
8853,ADAMANTINA
2055,AGUAS LINDAS DE GOIAS
342,ALAGOINHAS
7396,ALEGRETE
4529,ALENQUER
2651,ALFENAS
4280,ALTA FLORESTA
4534,ALTAMIRA
7408,ALVORADA
8883,AMERICANA
8886,AMPARO
4539,ANANINDEUA
2065,ANAPOLIS
6845,ANGRA DOS REIS
2069,APARECIDA DE GOIANIA
5780,APUCARANA
8770,ARACAJU
8907,ARACATUBA
1816,ARACRUZ
9805,ARAGUAINA
2695,ARAGUARI
30,ARAPIRACA
5783,ARAPONGAS
8344,ARARANGUA
8912,ARARAQUARA
8913,ARARAS
5153,ARARIPINA
6848,ARARUAMA
5789,ARAUCARIA
2704,ARAXA
5154,ARCOVERDE
7315,ARIQUEMES
8926,ASSIS
5797,ASSIS CHATEAUBRIAND
8928,ATIBAIA
8933,AVARE
2390,BACABAL
7439,BAGE
8357,BALNEARIO CAMBORIU
2395,BALSAS
2735,BARBACENA
2398,BARRA DO CORDA
6862,BARRA DO PIRAI
6863,BARRA MANSA
403,BARREIRAS
8954,BARRETOS
8956,BARUERI
8961,BAURU
4876,BAYEUX
8962,BEBEDOURO
4565,BELEM
6865,BELFORD ROXO
2754,BELO HORIZONTE
5169,BELO JARDIM
7466,BENTO GONCALVES
2762,BETIM
8376,BIGUACU
8969,BIRIGUI
8377,BLUMENAU
7375,BOA VISTA
2774,BOM DESPACHO
8989,BOTUCATU
4578,BRAGANCA
8992,BRAGANCA PAULISTA
1778,BRASILIA
443,BRUMADO
8390,BRUSQUE
4892,CABEDELO
5189,CABO DE SANTO AGOSTINHO
6873,CABO FRIO
8391,CACADOR
9005,CACAPAVA
4313,CACERES
7501,CACHOEIRA DO SUL
7502,CACHOEIRINHA
1839,CACHOEIRO DE ITAPEMIRIM
7319,CACOAL
461,CAETITE
7148,CAICO
2107,CALDAS NOVAS
473,CAMACARI
5895,CAMBE
4593,CAMETA
4904,CAMPINA GRANDE
9025,CAMPINAS
2854,CAMPO BELO
4141,CAMPO GRANDE
5911,CAMPO LARGO
5914,CAMPO MOURAO
6881,CAMPOS DOS GOYTACAZES
1256,CANINDE
7533,CANOAS
9043,CARAGUATATUBA
9044,CARAPICUIBA
2885,CARATINGA
1844,CARIACICA
5216,CARUARU
5941,CASCAVEL
4605,CASTANHAL
5942,CASTRO
2125,CATALAO
9052,CATANDUVA
1284,CAUCAIA
2430,CAXIAS
7566,CAXIAS DO SUL
8419,CHAPECO
5959,CIANORTE
2437,CODO
1847,COLATINA
5964,COLOMBO
4610,CONCEICAO DO ARAGUAIA
